var,dias,trt,pl,categ,cont,prop,tree_id
A,7,0,1,0,15,0.294117647058824,A.0.7.1
A,7,0,1,1,3,0.0588235294117647,A.0.7.1
A,7,0,1,2,3,0.0588235294117647,A.0.7.1
A,7,0,1,3,2,0.0392156862745098,A.0.7.1
A,7,0,1,4,1,0.0196078431372549,A.0.7.1
A,7,0,1,5,0,0,A.0.7.1
A,7,0,2,0,27,0.529411764705882,A.0.7.2
A,7,0,2,1,0,0,A.0.7.2
A,7,0,2,2,0,0,A.0.7.2
A,7,0,2,3,0,0,A.0.7.2
A,7,0,2,4,0,0,A.0.7.2
A,7,0,2,5,0,0,A.0.7.2
A,7,0,3,0,0,0,A.0.7.3
A,7,0,3,1,0,0,A.0.7.3
A,7,0,3,2,0,0,A.0.7.3
A,7,0,3,3,0,0,A.0.7.3
A,7,0,3,4,0,0,A.0.7.3
A,7,0,3,5,0,0,A.0.7.3
A,7,1,1,0,38,0.426966292134831,A.1.7.1
A,7,1,1,1,0,0,A.1.7.1
A,7,1,1,2,0,0,A.1.7.1
A,7,1,1,3,0,0,A.1.7.1
A,7,1,1,4,0,0,A.1.7.1
A,7,1,1,5,0,0,A.1.7.1
A,7,1,2,0,20,0.224719101123596,A.1.7.2
A,7,1,2,1,0,0,A.1.7.2
A,7,1,2,2,0,0,A.1.7.2
A,7,1,2,3,0,0,A.1.7.2
A,7,1,2,4,0,0,A.1.7.2
A,7,1,2,5,0,0,A.1.7.2
A,7,1,3,0,31,0.348314606741573,A.1.7.3
A,7,1,3,1,0,0,A.1.7.3
A,7,1,3,2,0,0,A.1.7.3
A,7,1,3,3,0,0,A.1.7.3
A,7,1,3,4,0,0,A.1.7.3
A,7,1,3,5,0,0,A.1.7.3
A,7,2,1,0,23,0.410714285714286,A.2.7.1
A,7,2,1,1,0,0,A.2.7.1
A,7,2,1,2,0,0,A.2.7.1
A,7,2,1,3,0,0,A.2.7.1
A,7,2,1,4,0,0,A.2.7.1
A,7,2,1,5,0,0,A.2.7.1
